Metronidazole_drugsCom	Metronidazole_MedEffect	Metronidazole_OpenFDA	Metronidazole_Twitter	sideefects
0.0007892659826361484	0.00019102196752626555	0.00046676624346527276	0.0009970089730807576	, serotonin syndromes,syndrome serotonin,serotonin syndrome,serotonergic syndrome
0.0007892659826361484	0.00019102196752626555	0.00046685340802987853	0.0009970089730807576	, serotonin syndrome, Serotonin syndrome
0.0032175032175032173	0.0003863987635239567	0.0004520795660036166	0.0007930214115781126	, change moods,labile mood,change mood,changes mood,altered moods,altering mood,emotional lability,mood labile,mood swings,swings mood,emotionally labile,mood swing,emotional instability,mood change
0.0020689655172413802	0.0005633802816901409	0.0022873602168756355	0.0007555723460521345	, disturbances sleeping,sleep disorders,problems sleeping,disorder sleeping,sleep disturbance,sleep disturbances,sleeping disorders,problem sleeping,disorders sleeping,problems sleep,disturbances sleep,problem sleep,sleep disordered,disorders sleeps,disturbance sleep,disturbance sleeping,disorder sleep,sleep problem,sleep disorder,disorders sleep,disturbed sleep
0.001584786053882726	0.002705836876691148	0.004248915641320705	0.0005181347150259066	, Chest discomfort, discomfort chest,discomfort in chest,chest discomfort, chest discomfort
0.003152088258471237	0.00037914691943127966	0.004121360925990881	0.0005151983513652757	, neck pain, Neck pain
0.0031421838177533392	0.0009667440061871617	0.001885437241874664	0.0005128205128205128	, dry skin,skin dryness,drying skin,skin dry,dryness skin
0.002365930599369085	0.000194325689856199	0.0010974758056470119	0.0005120327700972862	, jaw pain,jaw pains,pain in jaw,pain jaw,of jaw pain,pain mandibular,mandibular pain,jaws pain
0.011547344110854505	0.004434225652816554	0.007096269240803549	0.0005117707267144318	, extremities pains,pain extremity,limb pain,pain limb,extremities pain,pain extremities,limb ach,extremity pain,limbs pain,aching limbs
0.0007886435331230284	0.0020928462709284626	0.004086302713305003	0.0005073566717402334	, increased blood pressure,blood elevate pressure,blood pressure elevated,elevated bp,increase blood pressure,rise in blood pressure,blood pressure raising,increase in blood pressure,blood elevates pressure,blood elevations pressure,blood pressure rise,blood pressure increase,blood elevation pressure,elevation blood pressure,blood increase pressure,blood increases pressure,elevate blood pressure,blood pressure rises,elevated blood pressure,blood increasing pressure,blood pressure elevation
0.0015810276679841895	0.0003894839337877313	0.0037612838515546643	0.000493339911198816	, heart failure,heart failures,failure heart,cardiac failures,failure cardiac,heart weaknesses,myocardial failure,weak heart,cardiac failure,heart weakness,hearts weak,failures heart
0.007014809041309431	0.0021409108602569093	0.0018325617283950614	0.0004885197850512948	, vitamin a, vitamin d
0.003315649867374005	0.0003863987635239567	0.0004552490212146044	0.00041963911036508597	, mood swings, Mood swings
0.0030441400304414	0.0007776049766718508	0.0002038528182652125	0.00028604118993135017	, panics,panic,panicky,panic reaction
