Adalimumab_drugsCom	Adalimumab_MedEffect	Adalimumab_OpenFDA	Adalimumab_Twitter	sideefects
0.005722460658082976	0.0009326183259501047	0.0010952866165932604	0.0010259040779687098	, of mouth ulcer,oral ulcerations,mouth ulcerations,mouth ulcer,mouth ulceration,oral ulcers,ulcer oral,oral ulcer,mouth ulcers,ulcers mouth,oral ulceration,ulcer mouth
0.0028694404591104736	0.0015026879979273267	0.0057624554628873965	0.0010248526774276198	, caused diseases virus,viral infectious disease,disease viral,disease infectious viral,infections viru,viral infection,diseases viral,illness viral,virus diseases,virus disease,infection virus,viral infection nos,viral diseases,virus infection,infection viral,viral disease,disease virus,disorders viral,illnesses viral,infections viral,viral illness,viral disorder,diseases caused by viruses,infections virus
0.0028169014084507052	0.001023435374590302	0.0042890244793084426	0.0010232796111537476	, dry skin, Dry skin
0.006544502617801047	7.773631840796021e-05	0.0011716481072738436	0.0010198878123406426	, disease ear,ear diseases,disorders ear,disorder ears,ear disorder,ear disorders,ear disease,diseases ear,diseases ears,diseases of the ear,disorders earing,disease ears,disease earrings
0.0027972027972027968	0.0003368093788457802	0.0014605275823953315	0.0010183299389002038	, intolerance cold,sensitive to cold,feel cold,sensitive cold,cold sensitive,cold sensitivity,cold feel,sensitivity cold,cold feelings,cold intolerance
0.017948717948717947	1.295722818974565e-05	1.3295264559145648e-05	0.001002004008016032	,  male
0.0028694404591104736	0.0016709844559585493	0.005278666414194264	0.0007706139224248652	, joint stiffness, Joint stiffness
0.0028694404591104736	0.009482602274788195	0.10343511830304558	0.0007706139224248652	, Injection site pain, pain at injection site,injection site pain, injection site pain
0.0057061340941512145	5.18289127589826e-05	0.004181862872099435	0.0007696254489481786	, sinus pain,pain sinuses,sinu pain,pains sinus,pain sinus
0.005722460658082976	0.0009326183259501047	0.0009626492106276473	0.0007694280584765325	, mouth ulceration, Mouth ulceration
0.0028368794326241137	0.0003368093788457802	0.00133783927338397	0.0007674597083653107	, feeling cold, Feeling cold
0.0027472527472527475	0.00045327980314705684	0.0006539744717579299	0.0007547169811320754	, difficulties sleep,difficulty sleep,difficulties sleeping,difficulty sleeping,sleeping difficulty,difficult sleeping,poor sleep
0.002820874471086037	2.5912777590629942e-05	0.0004883412674947428	0.0007539582809751194	, thyroiditis, Thyroiditis
0.002820874471086037	2.5912777590629942e-05	0.0005149039787128728	0.0007537688442211055	, thyroiditis,unspecified thyroiditis,thyroiditis nos
0.002171552660152009	0.0001552072016141549	0.001995439939905159	0.0006799637352674523	, dry mouth, Dry mouth
0.0028653295128939827	0.0004921451050988823	0.002064753041616539	0.0005137426149499102	, disease eye,eye disease,eye disorders,diseases eye,diseases eyes,disorder eye,disorders eyes,of the eye diseases,ophthalmic disorders,diseases of the eye,oculopathy,ophthalmopathy,disease eyes,disorder eyes,eye diseases,disorders eye,eye disorder
0.0028694404591104736	1.2957060302158647e-05	0.00021932812484422719	0.0005134788189987163	, serum reaction,serum sickness
0.014326647564469915	0.0002202586095203545	0.0002590974771213606	0.0005132152938157557	, course illness,courses disease,disease progression,course of illness
0.014347202295552369	0.0002202586095203545	0.0002590974771213606	0.0005132152938157557	, disease progression, Disease progression
0.0028530670470756072	5.18289127589826e-05	0.0009537545361496232	0.000513083632632119	, sinus pain, Sinus pain
0.0027624309392265192	0.0004275719098211972	0.002714736667220469	0.0005108556832694763	, infection dental,dental infections,tooth infection,dental infection,infections tooth,infection tooth
0.005427408412483039	1.2957060302158647e-05	0.0003223640919634964	0.0005099439061703213	, ears itch,itching ear,ear itching,itch ear,ear itch,ears itching,ear pruritus
0.01904761904761905	0.012243894231391479	0.026261812200463086	0.000509813917919959	, extremities pains,pain extremity,limb pain,pain limb,extremities pain,pain extremities,limb ach,extremity pain,limbs pain,aching limbs
0.005689900426742532	1.295722818974565e-05	1.3295176177703325e-05	0.0005094243504839531	, pain management, Pain management
0.005319148936170214	2.5913113331001153e-05	2.658584569575158e-05	0.0005080010160020323	, urinary hesitancy,urine hesitancy,hesitancy urination,hesitancy,urination hesitancy
